"filename", "language", "HTML", "PostCSS", "TypeScript", "comment", "blank", "total"
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\services\profile.service.ts", "TypeScript", 0, 0, 67, 4, 10, 81
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\services\web-socket.service.ts", "TypeScript", 0, 0, 48, 2, 9, 59
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\utils\bg.pipe.ts", "TypeScript", 0, 0, 9, 0, 4, 13
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\utils\border.pipe.ts", "TypeScript", 0, 0, 9, 0, 4, 13
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\utils\img.pipe.ts", "TypeScript", 0, 0, 10, 0, 4, 14
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\app\utils\svg.component.ts", "TypeScript", 0, 0, 22, 0, 4, 26
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\chat-preview\chat-preview.component.css", "PostCSS", 0, 69, 0, 0, 11, 80
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\chat-preview\chat-preview.component.html", "HTML", 23, 0, 0, 0, 1, 24
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\chat-preview\chat-preview.component.ts", "TypeScript", 0, 0, 11, 0, 3, 14
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\comment\comment.component.css", "PostCSS", 0, 68, 0, 0, 17, 85
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\comment\comment.component.html", "HTML", 21, 0, 0, 0, 2, 23
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\comment\comment.component.ts", "TypeScript", 0, 0, 25, 0, 5, 30
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\layout\layout.component.css", "PostCSS", 0, 167, 0, 0, 22, 189
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\layout\layout.component.html", "HTML", 24, 0, 0, 3, 1, 28
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\layout\layout.component.ts", "TypeScript", 0, 0, 77, 0, 8, 85
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\message\message.component.css", "PostCSS", 0, 178, 0, 0, 31, 209
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\message\message.component.html", "HTML", 48, 0, 0, 0, 3, 51
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\message\message.component.ts", "TypeScript", 0, 0, 71, 3, 13, 87
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\notify\notify.component.css", "PostCSS", 0, 42, 0, 0, 5, 47
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\notify\notify.component.html", "HTML", 37, 0, 0, 0, 1, 38
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\notify\notify.component.ts", "TypeScript", 0, 0, 18, 0, 2, 20
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\popup\popup.component.css", "PostCSS", 0, 58, 0, 0, 10, 68
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\popup\popup.component.html", "HTML", 14, 0, 0, 0, 0, 14
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\popup\popup.component.ts", "TypeScript", 0, 0, 11, 0, 2, 13
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\post\post.component.css", "PostCSS", 0, 221, 0, 0, 52, 273
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\post\post.component.html", "HTML", 66, 0, 0, 0, 3, 69
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\post\post.component.ts", "TypeScript", 0, 0, 82, 0, 12, 94
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\search\search.component.css", "PostCSS", 0, 23, 0, 0, 6, 29
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\search\search.component.html", "HTML", 1, 0, 0, 0, 0, 1
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\search\search.component.ts", "TypeScript", 0, 0, 12, 0, 4, 16
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\titlebar\titlebar.component.css", "PostCSS", 0, 35, 0, 0, 5, 40
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\titlebar\titlebar.component.html", "HTML", 8, 0, 0, 0, 0, 8
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\titlebar\titlebar.component.ts", "TypeScript", 0, 0, 18, 0, 4, 22
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\user-card\user-card.component.css", "PostCSS", 0, 121, 0, 0, 30, 151
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\user-card\user-card.component.html", "HTML", 26, 0, 0, 0, 3, 29
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\common-ui\user-card\user-card.component.ts", "TypeScript", 0, 0, 33, 0, 6, 39
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\index.html", "HTML", 14, 0, 0, 0, 3, 17
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\main.ts", "TypeScript", 0, 0, 50, 2, 6, 58
"c:\Users\S1M4\Documents\Projects\Angular\BlaBlaGram\bla-bla-gram\src\styles.css", "PostCSS", 0, 182, 0, 2, 33, 217
"Total", "-", 564, 1990, 1601, 170, 649, 4974
